StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40_1,Q40_2,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,User Language,"For this study, body image is defined as one’s perception of one’s own physical appearance.

 

All questions address your experiences since coming to college.

 

A healthy relationship with food is defined as making conscious efforts to eat nutritious food without restriction.

 

An unhealthy relationship with food refers to strict rules and restrictions about what one eats and obsessive thoughts about food.

 

How healthy is your relationship with food?","Since coming to college, how often have you
struggled with your body image?","Since coming to college, how often have you felt
your size or shape is the most important aspect of who you are?","Since coming to college, how often does
  your size or shape cause you distress?","Since coming to college, how frequently
  do you think about your size or shape?","How often do you avoid social
  gatherings because of your size or shape?","How often do you avoid wearing
  swimsuits because of your size or shape?","Since coming to college, have you had
  a partner?","How often does your size or shape affect
  your relationship with your partner?","How often does your size or shape affect dating
or developing a relationship?","How often do you avoid intimacy
  because of your size or shape?","How often are you intimate only under certain
conditions, such as when the lights are off or you are wearing makeup?","Since coming to college, how much has your size or shape interfered with your mental ability to work or study?","Since coming to college, how much has your size or shape interfered with your emotional ability to work or study?",How often do you check your body image in mirrors or reflective surfaces?,"How often do you check your body appearance
  by taking photographs of yourself?",How often do you compare your body appearance now with old pictures of yourself?,How often do you make comments or jokes about your size or shape?,"How often do you hide your size or shape with
something, such as a scarf or baggy clothing?","How often do you wear more makeup
  than your peers to hide your features?","How satisfied are you with your
  complexion?",How often do you exercise?,"When you exercise, how often do you exercise to specifically
alter your size or shape?",How often do you weigh yourself?,"How often do you eat less food to
  decrease your weight?","How often do you eat more food to
  increase your weight?","How often do you use diet pills,
  laxatives, or diuretics?",How often has someone embarrassed you in front of others because of your size or shape?,"How often has someone encouraged you to go on a
diet or eat less because of your weight?","How many of your peers do you think have
  a healthy body image?","How often do your peers restrict
  their diet?","How often do your peers comment on
  their body?",How often do those around you comment on your size or shape?,How often does being around your peers make you question your diet?,How often does being around your peers make you question your body?,"How often do those closest to you
  engage in unhealthy eating?","Has your body image worsened, stayed about the
same, or improved since coming to college?","With what feature of your body are you most
satisfied?",With what feature of your body are you most dissatisfied?,"To which two of your features do you give most
attention? Write one feature in each box. - 1.","To which two of your features do you give most
attention? Write one feature in each box. - 2.","Have you ever sought advice from a nutritionist
regarding your diet?","Have you sought professional help to gain
  confidence or resolve issues with your body image?",What type of professional help have you sought?,"Have you been diagnosed with any sort
  of body image disorder or eating disorder?","With which body image or eating disorder have
you been diagnosed?","How many years have you
  been enrolled at UW-Madison?  Is this
  your...",What is your gender?,What is your age?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_TEXT""}"
3/3/21 17:03,3/3/21 17:07,100,201,TRUE,3/3/21 17:07,R_3kcSA8xpWr8TinT,EN,A little healthy,Sometimes,Rarely,Very often,Very Often,Rarely,Sometimes,Yes,Never,,Never,Never,A little,A little,Very often,Rarely,Very often,Very often,Sometimes,Sometimes,Somewhat,Very often,Sometimes,Once or twice a month,Very often,Never,Never,Rarely,Rarely,A few,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Worsened,Torso,Face,Face,Stomach,No,No,,No,,...second year,Female,20
3/3/21 17:04,3/3/21 17:07,100,183,TRUE,3/3/21 17:07,R_QbjfYfqq0wNXagN,EN,Very healthy,Rarely,Rarely,Never,Rarely,Never,Never,No,,Never,Never,Not applicable,Not at all,Not at all,Sometimes,Never,Never,Never,Never,Not applicable,Very,Extremely often,Sometimes,Once a week,Sometimes,Sometimes,Rarely,Never,Never,All,Sometimes,Rarely,Never,Never,Never,Never,Improved,Abs,,Abs,Biceps,No,No,,No,,...first year,Male,18
3/3/21 17:04,3/3/21 17:07,100,193,TRUE,3/3/21 17:07,R_2fp1fOrTsFKyPsF,EN,A little healthy,Very often,Sometimes,Very often,Very Often,Rarely,Extremely often,Yes,Sometimes,,Sometimes,Sometimes,A little,Some,Always,Sometimes,Extremely often,Very often,Always,Rarely,Very,Never,,Less than once a month,Sometimes,Never,Rarely,Rarely,Rarely,None,Very often,Extremely often,Sometimes,Very often,Very often,Very often,Stayed about the same,Waist,Thighs,Thighs,Hair,No,No,,No,,...second year,Female,19
3/3/21 17:04,3/3/21 17:07,100,199,TRUE,3/3/21 17:07,R_vZxJziHAkiHoDxD,EN,Somewhat healthy,Very often,Sometimes,Sometimes,Sometimes,Never,Never,Yes,Rarely,,Sometimes,Rarely,Not at all,A little,Very often,Rarely,Sometimes,Rarely,Rarely,Never,Very,Very often,Sometimes,Less than once a month,Sometimes,Never,Never,Rarely,Rarely,Some,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Improved,stomach,thighs,thighs,stomach,No,No,,No,,...second year,Female,19
3/3/21 17:04,3/3/21 17:07,100,214,TRUE,3/3/21 17:07,R_31sch7TOPFxh8JG,EN,Very healthy,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Yes,Rarely,,Never,Never,Not at all,Not at all,Sometimes,Never,Rarely,Rarely,Never,Never,Somewhat,Very often,Sometimes,Less than once a month,Never,Sometimes,Never,Never,Never,Most,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Improved,all,none,face/skin,muscles,No,No,,No,,...first year,Male,19
3/3/21 17:04,3/3/21 17:08,100,217,TRUE,3/3/21 17:08,R_poCrjtHEzN42vxD,EN,Very healthy,Sometimes,Never,Rarely,Very Often,Never,Never,No,,Never,Never,Never,Not at all,Not at all,Very often,Rarely,Never,Never,Never,Never,Very,Sometimes,Rarely,Less than once a month,Never,Never,Never,Never,Never,Some,Very often,Sometimes,Never,Never,Never,Very often,Stayed about the same,Eyes ,Stomach ,Stomach,Skin,No,No,,No,,...first year,Female,18
3/3/21 17:04,3/3/21 17:08,100,223,TRUE,3/3/21 17:08,R_12aSuQof0gmJIlq,EN,Somewhat healthy,Very often,Very often,Sometimes,Very Often,Sometimes,Rarely,Yes,Rarely,,Sometimes,Sometimes,Some,A little,Always,Extremely often,Extremely often,Very often,Always,Sometimes,Somewhat,Extremely often,Extremely often,Less than once a month,Extremely often,Never,Very often,Rarely,Rarely,Some,Very often,Extremely often,Rarely,Sometimes,Extremely often,Sometimes,Worsened,My butt ,My waist,Waist,Hips,No,No,,No,,...fifth year or more,Female,22
3/3/21 17:04,3/3/21 17:08,100,232,TRUE,3/3/21 17:08,R_3jTF6si7ANh2Abx,EN,Very healthy,Sometimes,Rarely,Rarely,Sometimes,Never,Never,No,,Never,Never,Never,Some,Not at all,Very often,Rarely,Sometimes,Rarely,Never,Not applicable,Very,Extremely often,Extremely often,Once a week,Rarely,Extremely often,Never,Never,Never,All,Very often,Very often,Very often,Rarely,Never,Very often,Improved,,,fat,muscle,No,No,,No,,...fourth year,Male,22
